"BirdID","Disperse","Inherit","DispersalDate","DispersalMonth2","NatalTerritory","DisperseTerritoryID","DisperseStatus","NatalStatus","DisperseStatus2","Age_at_disp1","Age_at_disp2","BirthDate1","BirthDate2","Reached_min_age_1","Reached_min_age_2","DispersalYear","BirthYear1","BirthYear2","PopDensity.all","PopDensity.old","GroupSize.all","GroupSize.old","NoTranslocationEvents","TranslocationYN","Distance","NatalTerritorySize","DisperseTerritorySize","InsectAbundance","InsectDensity","SexEstimate","Novel.environment.score","StndBody.mass","BodyMass","Weather","Observer","TentColour","ExplorationBranchOrientation","ReleaseMethod","Time.between.tests","Social.status","TentPoles","BranchHeight","Days.into.season","Testno","Ageclass","Age","Age2","Age_sq","Season"
4965,1,NA,"2008-02-12","W",53,127,"BrF","ABX",1,480,480,"2006-10-20","2006-10-20",NA,NA,2008,2006,2006,393,349,4,3,NA,"N",224.802135221176,2655,1936,578.85254053,2.824358152,0,6,0.811295113,16.39999962,"S","SP","B","D","H",0,"Non-primary",0,0,74,1,"A",0.168079334,-0.034279632,1943236,74.1
4999,1,NA,"2007-11-12","W",58,45,"H","OFL",2,268,268,"2007-02-17","2007-02-17",NA,NA,2007,2007,2007,393,349,4,2,NA,"N",299.82661656364,1721,2004,578.85254053,2.824358152,0,19,0.436866722,16.60000038,"C","MB","G","P","P",0,"Primary",0,0,107,1,"A",0.633991554,0.421348335,5774409,107.1
5000,1,NA,"2008-02-12","W",135,157,"BrM","H",1,479,479,"2006-10-21","2006-10-21",NA,NA,2008,2006,2006,393,349,4,3,NA,"N",105.621967412087,1706,1699,578.85254053,2.824358152,1,11,0.311264705,16,"C","HE","G","P","P",156,"Primary",0,0,43,2,"A",0.659388156,0.453143927,6041764,43.1
5000,1,NA,"2008-02-12","W",135,157,"BrM","H",1,479,479,"2006-10-21","2006-10-21",NA,NA,2008,2006,2006,393,349,4,3,NA,"N",105.621967412087,1706,1699,578.85254053,2.824358152,1,29,0.311264705,16.5,"P","HE","B","D","P",0,"Primary",0,0,38,1,"A",0.587354156,0.364833871,5299204,38.2
5009,1,NA,"2007-01-22","W",13,48,"ABX","CH",2,90,90,"2006-10-24","2006-10-24",NA,NA,2007,2006,2006,389,332,5,3,NA,"N",272.976189437834,2521,1438,826.155111578,3.293563544,0,0,-0.604010102,14.10000038,"S","TC","G","P","P",2417,"Primary",1,1,44,1,"A",1.600447724,2.138600148,20214016,44.2
5072,1,NA,"2008-11-03","W",47,30,"BrM","ABX",1,563,563,"2007-04-20","2007-04-20",NA,NA,2008,2007,2007,361,329,7,6,NA,"N",52.8109837060436,1927,1565,981.912924396,2.75125573,1,89,0.243748181,16.10000038,"S","MB","G","D","P",981,"Primary",0,0,44,3,"A",0.843628965,0.705349556,8162449,44.2
5072,1,NA,"2008-11-03","W",47,30,"BrM","ABX",1,563,563,"2007-04-20","2007-04-20",NA,NA,2008,2007,2007,361,329,7,6,NA,"N",52.8109837060436,1927,1565,981.912924396,2.75125573,1,41,0.243748181,15.89999962,"S","SP","B","D","H",0,"Primary",0,0,77,1,"A",0.085424936,-0.089819612,1476225,77.1
5072,1,NA,"2008-11-03","W",47,30,"BrM","ABX",1,563,563,"2007-04-20","2007-04-20",NA,NA,2008,2007,2007,361,329,7,6,NA,"N",52.8109837060436,1927,1565,981.912924396,2.75125573,1,12,0.151747784,15.89999962,"S","SAK","B","D","P",661,"Primary",0,0,7,2,"A",0.390645924,0.15316517,3519376,7.1
5123,0,0,NA,NA,63,NA,NA,NA,NA,NA,NA,"2007-06-24","2007-06-24",1,1,NA,2007,2007,319,301,4,4,1,"Y",NA,NA,NA,697.770563724,3.969747677,0,9,0.027123419,16,"S","SP","B","D","H",0,"Non-primary",0,0,74,1,"A",0.0540255,-0.10892111,1315609,74.1
5123,0,0,NA,NA,63,NA,NA,NA,NA,NA,NA,"2007-06-24","2007-06-24",1,1,NA,2007,2007,319,301,4,4,1,"Y",NA,NA,NA,697.770563724,3.969747677,0,4,-0.156877376,14.80000019,"P","SAK","B","D","P",683,"Non-primary",0,0,26,2,"A",0.36940513,0.132891057,3348900,26.1
