"BirdID","Age_at_disp1","Age_at_disp2","BirthDate1","BirthDate2","Reached_min_age_1","Reached_min_age_2","DispersalYear","BirthYear1","BirthYear2"
6566,180.958333333333,180.958333333333,2015-02-19,2015-02-19,NA,NA,2015,2015,2015
6568,418,418,2015-10-07,2015-10-07,NA,NA,2016,2015,2015
6571,NA,NA,2015-10-11,2015-10-11,1,1,NA,2015,2015
6573,NA,NA,2015-10-17,2015-10-17,0,0,NA,2015,2015
6645,425.958333333333,425.958333333333,2016-02-26,2016-02-26,NA,NA,2017,2016,2016
6660,266.958333333333,266.958333333333,2015-09-10,2015-09-10,NA,NA,2016,2015,2015
6673,592.958333333333,592.958333333333,2015-09-12,2015-09-12,NA,NA,2017,2015,2015
6690,193,193,2016-05-19,2016-05-19,NA,NA,2016,2016,2016
6693,423,423,2016-09-28,2016-09-28,NA,NA,2017,2016,2016
6697,321.958333333333,321.958333333333,2016-09-27,2016-09-27,NA,NA,2017,2016,2016
6764,293.958333333333,293.958333333333,2017-07-11,2017-07-11,NA,NA,2018,2017,2017
6777,NA,NA,2017-07-18,2017-07-08,1,1,NA,2017,2017
6780,571,609,2017-07-16,2017-06-08,NA,NA,2019,2017,2017
6831,794,900,2017-09-26,2017-06-12,NA,NA,2019,2017,2017
6836,418,418,2017-09-29,2017-09-29,NA,NA,2018,2017,2017
6857,82.9583333333333,82.9583333333333,2018-02-07,2018-02-07,NA,NA,2018,2018,2018
6859,NA,NA,2018-02-06,2018-01-27,1,1,NA,2018,2018
6863,648,623,2018-05-10,2018-06-04,NA,NA,2020,2018,2018
6865,436.958333333333,436.958333333333,2018-05-13,2018-05-13,NA,NA,2019,2018,2018
6877,368.958333333333,335.958333333333,2018-06-13,2018-07-16,NA,NA,2019,2018,2018
6884,NA,NA,2017-11-20,2017-11-20,1,1,NA,2017,2017
6886,NA,NA,2018-08-06,2018-08-06,1,1,NA,2018,2018
6900,427,427,2017-12-07,2017-12-07,NA,NA,2019,2017,2017
6909,NA,NA,2017-12-12,2017-12-12,1,1,NA,2017,2017
6910,NA,NA,2018-07-17,2018-07-17,1,1,NA,2018,2018
6926,NA,NA,2018-07-26,2018-07-26,1,1,NA,2018,2018
7071,NA,NA,2018-09-15,2018-08-11,1,1,NA,2018,2018
7074,NA,NA,2018-09-13,2018-08-08,0,0,NA,2018,2018
7077,NA,NA,2018-09-25,2018-09-25,0,0,NA,2018,2018
7079,NA,NA,2018-09-30,2018-06-21,0,0,NA,2018,2018
7080,NA,NA,2018-10-01,2018-07-31,0,0,NA,2018,2018
7084,NA,NA,2018-05-06,2018-05-06,1,1,NA,2018,2018
7086,NA,NA,2018-05-10,2018-08-09,1,1,NA,2018,2018
7091,NA,NA,2018-10-03,2018-10-03,1,1,NA,2018,2018
7094,331.958333333333,322.958333333333,2018-05-27,2018-06-05,NA,NA,2019,2018,2018
7096,NA,NA,2018-10-16,2018-08-10,0,0,NA,2018,2018
7097,NA,NA,2018-10-15,2018-07-11,0,0,NA,2018,2018
7116,NA,NA,2019-05-13,2019-05-13,0,0,NA,2019,2019
7131,NA,NA,2019-06-04,2019-06-04,0,0,NA,2019,2019
7132,NA,NA,2019-06-02,2019-06-02,0,0,NA,2019,2019
7133,NA,NA,2019-06-03,2019-06-03,0,0,NA,2019,2019
