mum_FPID,id,mum,dad,p,FPID,PeriodStart,PeriodEnd,O_TerrNum,O_TerrID,dad_FPID,MumStatus,mum_TerrNum,mum_TerrID
5766_125,6268,5766,4890,0.985,125,16/06/2014,04/10/2014,28.1,39,4890_125,Dom,28.1,39
5823_164,6836,5823,6556,1,164,21/06/2017,20/09/2017,25.1,617,6556_164,Dom,25.1,617
5833_124,6160,5833,5595,0.999,124,19/01/2014,04/03/2014,26,34,5595_124,Dom,26,34
5838_124,6170,5838,5626,0.999,124,19/01/2014,04/03/2014,122,179,5626_124,Dom,122,179
5838_125,6199,5838,5820,1,125,16/06/2014,04/10/2014,122,179,5820_125,Dom,122,179
5838_142,6378,5838,5820,1,142,22/06/2015,29/09/2015,122,179,5820_142,Dom,122,179
5845_116,6012,5845,5249,1,116,04/06/2012,30/09/2012,63,94,5249_116,Dom,63,94
5845_164,6780,5845,6200,1,164,21/06/2017,20/09/2017,63,94,6200_164,Dom,63,94
5851_142,6556,5851,3089,0.998,142,22/06/2015,29/09/2015,67,99,3089_142,Dom,67,99
5854_142,6554,5854,5822,1,142,22/06/2015,29/09/2015,56,83,5822_142,Dom,56,83
5901_125,6213,5901,5776,1,125,16/06/2014,04/10/2014,46,63,5776_125,Dom,46,63
5901_125,6261,5901,5776,1,125,16/06/2014,04/10/2014,46,63,5776_125,Dom,46,63
5902_118,6033,5902,5523,1,118,22/01/2013,27/02/2013,43,60,5523_118,Sub,43,60
6009_139,6565,6009,1869,1,139,16/01/2015,05/03/2015,101,154,1869_139,Dom,101,154
6022_125,6313,6022,5643,0.984,125,16/06/2014,04/10/2014,86,126,5643_125,Dom,86,126
6022_159,6690,6022,5779,1,159,23/06/2016,19/09/2016,86,126,5779_159,Dom,86,126
6028_124,6150,6028,3456,0.999,124,19/01/2014,04/03/2014,126,407,3456_124,Dom,126,407
6028_125,6272,6028,3456,0.976,125,16/06/2014,04/10/2014,126,407,3456_125,Dom,126,407
6028_142,6673,6028,3456,1,142,22/06/2015,29/09/2015,126,407,3456_142,Dom,126,407
6034_139,6385,6034,5853,1,139,16/01/2015,05/03/2015,1.2,616,5853_139,Dom,1.2,616
6034_164,6777,6034,2966,0.997,164,21/06/2017,20/09/2017,1.2,616,2966_164,Dom,1.2,616
6036_142,6660,6036,6163,1,142,22/06/2015,29/09/2015,35.1,618,6163_142,Dom,35.1,618
604_40,1729,604,1221,0.998,40,29/06/2001,26/07/2001,33,47,1221_40,zDead,33,47
6064_166,6845,6064,5626,1,166,30/01/2018,14/03/2018,137,662,5626_166,Dom,137,662
6138_164,6884,6138,6570,1,164,21/06/2017,20/09/2017,33,47,6570_164,Dom,33,47
6159_142,6557,6159,5679,1,142,22/06/2015,29/09/2015,26.5,36,5679_142,Dom,26.5,36
6215_166,6857,6215,6144,1,166,30/01/2018,14/03/2018,1,1,6144_166,Dom,1,1
6217_142,6568,6217,6024,1,142,22/06/2015,29/09/2015,27.1,605,6024_142,Dom,27.1,605
6229_142,6571,6229,6155,1,142,22/06/2015,29/09/2015,8,13,6155_142,Dom,8,13
6229_159,6697,6229,6155,0.871,159,23/06/2016,19/09/2016,8,13,6155_159,Dom,8,13
6373_144,6645,6373,3087,1,144,02/02/2016,09/03/2016,21,27,3087_144,Sub,21,27
6659_166,6909,6659,6701,0.999,166,30/01/2018,14/03/2018,5,8,6701_166,Dom,5,8
6690_166,6859,6690,6385,1,166,30/01/2018,14/03/2018,1.1,2,6385_166,Dom,1.1,2
832_30,1869,832,1604,1,30,06/06/2003,02/09/2003,56,83,1604_30,Dom,56,83
832_31,2991,832,1435,1,31,12/12/2003,14/01/2004,56,83,1435_31,Dom,56,83
869_31,2986,869,453,0.984,31,12/12/2003,14/01/2004,48,69,453_31,Dom,48,69
869_35,3694,869,1395,0.915,35,18/12/2004,12/01/2005,48,69,1395_35,Dom,48,69
927_41,1762,927,501,1,41,11/07/2002,02/10/2002,1.1,2,501_41,Dom,1.1,2
