"mum_FPID" "id" "mum" "dad" "p" "FPID" "O_Terr" "dad_FPID" "MumStatus" "mum_Terr"
"226" "1403_39" "1580" "1403" "525" "0.998" 39 69 "525_39" "Dom" 69
"227" "1403_40" "1893" "1403" "849" "0.988" 40 69 "849_40" "Dom" 69
"228" "1403_41" "1790" "1403" "1533" "1" 41 69 "1533_41" "Dom" 69
"229" "1404_28" "1504" "1404" "507" "1" 28 32 "507_28" "Sub" 32
"230" "1409_28" "1522" "1409" "1209" "1" 28 11 "1209_28" "Dom" 11
"231" "1409_30" "1866" "1409" "1209" "0.999" 30 11 "1209_30" "Dom" 11
"232" "1409_40" "1673" "1409" "1543" "1" 40 11 "1543_40" "Dom" 11
"233" "1410_28" "1530" "1410" "436" "1" 28 51 "436_28" "Dom" 51
"234" "1415_105" "5772" "1415" "4890" "0.777" 105 28.1 "4890_105" "Dom" 28.1
"235" "1415_30" "1844" "1415" "1040" "1" 30 28.1 "1040_30" "Dom" 28.1
"236" "1415_30" "1766" "1415" "1666" "0.999" 30 28.1 "1666_30" "Dom" 28.1
"237" "1415_34" "3017" "1415" "1018" "0.952" 34 28.1 "1018_34" "Dom" 3.1
"238" "1415_34" "3017" "1415" "1018" "0.952" 34 28.1 "1018_34" "Dom" 28.1
"239" "1415_37" "3521" "1415" "1040" "0.993" 37 28.1 "1040_37" "Dom" 28.1
"240" "1415_37" "3510" "1415" "1566" "0.998" 37 28.1 "1566_37" "Dom" 28.1
"241" "1415_39" "1594" "1415" "1165" "1" 39 28 "1165_39" "Sub" 28
"242" "1415_41" "1743" "1415" "1666" "1" 41 28.1 "1666_41" "Dom" 28.1
"243" "1415_75" "4941" "1415" "1040" "0.985" 75 28.1 "1040_75" "Dom" 28.1
"244" "1415_75" "4876" "1415" "1040" "1" 75 28.1 "1040_75" "Dom" 28.1
"245" "1418_28" "3964" "1418" "922" "0.655" 28 1 "922_28" "Sub" 1
"246" "1419_30" "1824" "1419" "1287" "0.998" 30 16 "1287_30" "Dom" 16
"247" "1419_75" "4895" "1419" "1795" "1" 75 16 "1795_75" "Dom" 16
"248" "1419_85" "5194" "1419" "1795" "0.932" 85 16 "1795_85" "Dom" 16
"249" "1429_30" "1887" "1429" "1759" "1" 30 92 "1759_30" "Dom" 92
"250" "1429_35" "3088" "1429" "1886" "1" 35 92 "1886_35" "Dom" 92
"251" "1429_37" "3619" "1429" "1886" "1" 37 92 "1886_37" "Dom" 92
"252" "1429_75" "4863" "1429" "1886" "1" 75 92 "1886_75" "Dom" 92
"253" "1432_28" "1525" "1432" "922" "1" 28 3.1 "922_28" "Sub" 3.1
"254" "1432_28" "1545" "1432" "1187" "0.976" 28 3.1 "1187_28" "Sub" 3.1
"255" "1436_40" "1619" "1436" "1381" "1" 40 97.1 "1381_40" "U" 97.1
"256" "1437_28" "1516" "1437" "1279" "0.947" 28 59 "1279_28" "Dom" 59
"257" "1437_30" "2970" "1437" "634" "1" 30 59 "634_30" "Dom" 59
"258" "1437_34" "3005" "1437" "1579" "0.969" 34 59 "1579_34" "Dom" 59
"259" "1437_37" "3695" "1437" "1623" "1" 37 59 "1623_37" "Dom" 59
"260" "1437_37" "3501" "1437" "1623" "1" 37 59 "1623_37" "Dom" 59
"261" "1437_41" "1796" "1437" "1196" "1" 41 59 "1196_41" "Dom" 59
"262" "1437_75" "4952" "1437" "1722" "1" 75 59 "1722_75" "Dom" 59
"263" "1437_75" "4948" "1437" "1797" "1" 75 59 "1797_75" "Dom" 59
"264" "1438_105" "5618" "1438" "1708" "1" 105 66 "1708_105" "Dom" 66
"265" "1438_37" "3598" "1438" "1708" "1" 37 66 "1708_37" "Dom" 66
"266" "1438_40" "1708" "1438" NA "0.629" 40 66 "NA_40" "U" 66
"267" "1438_82" "5151" "1438" "1708" "1" 82 66 "1708_82" "Dom" 66
"268" "1438_82" "5152" "1438" "1708" "1" 82 66 "1708_82" "Dom" 66
"269" "1438_85" "5268" "1438" "1708" "1" 85 66 "1708_85" "Dom" 66
"270" "1438_87" "5225" "1438" "1708" "0.95" 87 66 "1708_87" "Dom" 66
"271" "1438_92" "5461" "1438" "1708" "1" 92 66 "1708_92" "Dom" 66
"272" "1438_92" "5497" "1438" "1708" "1" 92 66 "1708_92" "Dom" 66
"273" "1490_30" "1843" "1490" "1287" "1" 30 51.1 "1287_30" "Dom" 51.1
"274" "1490_40" "1663" "1490" "1031" "1" 40 51.1 "1031_40" "Sub" 51.1
"275" "1490_40" "1664" "1490" "1031" "1" 40 51.1 "1031_40" "Sub" 51.1
"276" "1491_104" "5581" "1491" "5285" "1" 104 57.1 "5285_104" "Dom" 57.1
"277" "1491_30" "2982" "1491" "1604" "0.999" 30 57.1 "1604_30" "Dom" 57.1
"278" "1491_37" "3566" "1491" "1356" "1" 37 57.1 "1356_37" "Dom" 57.1
"279" "1491_41" "1780" "1491" "1356" "1" 41 57.1 "1356_41" "Dom" 57.1
"280" "1491_75" "4950" "1491" "1604" "0.998" 75 57.1 "1604_75" "Dom" 57.1
"281" "1491_75" "4949" "1491" "1356" "1" 75 57.1 "1356_75" "Dom" 57.1
"282" "1491_82" "5150" "1491" "1604" "0.996" 82 57.1 "1604_82" "Dom" 57.1
"283" "1491_85" "5213" "1491" "1604" "1" 85 57.1 "1604_85" "Dom" 57.1
"284" "1491_90" "5287" "1491" "1604" "0.999" 90 57.1 "1604_90" "Dom" 57.1
"285" "1501_30" "1879" "1501" "1606" "0.999" 30 22 "1606_30" "Dom" 22
"286" "1501_35" "3490" "1501" "1773" "1" 35 22 "1773_35" "Dom" 22
"287" "1501_37" "3447" "1501" "1773" "1" 37 22 "1773_37" "Dom" 22
"288" "1501_39" "1599" "1501" "890" "0.999" 39 22 "890_39" "Dom" 22
"289" "1501_41" "1774" "1501" "507" "1" 41 22 "507_41" "Dom" 22
"290" "1501_75" "4940" "1501" "3489" "0.996" 75 22 "3489_75" "Dom" 22
"291" "1501_77" "4967" "1501" "3489" "1" 77 22 "3489_77" "Dom" 22
"292" "1503_30" "1864" "1503" "1209" "1" 30 23 "1209_30" "Dom" 23
"293" "1503_35" "3489" "1503" "1606" "1" 35 23 "1606_35" "Dom" 23
"294" "1503_40" "1669" "1503" "1209" "1" 40 23 "1209_40" "Dom" 23
"295" "1503_75" "4877" "1503" "1606" "1" 75 23 "1606_75" "Dom" 23
"296" "1503_77" "4968" "1503" "1611" "1" 77 23 "1611_77" "Dom" 23
"297" "1506_30" "1825" "1506" "1500" "1" 30 19 "1500_30" "Dom" 19
"298" "1506_37" "3450" "1506" "1720" "1" 37 19 "1720_37" "Dom" 19
"299" "1506_37" "3572" "1506" "1720" "1" 37 19 "1720_37" "Dom" 19
"300" "1506_40" "1725" "1506" "1359" "0.994" 40 19 "1359_40" "Dom" 19
"301" "1506_75" "4902" "1506" "1767" "1" 75 19 "1767_75" "Dom" 19
"302" "1506_75" "4903" "1506" "1499" "1" 75 19 "1499_75" "Dom" 19
"303" "1508_30" "1828" "1508" "1754" "1" 30 54 "1754_30" "Dom" 54
"304" "1508_40" "1700" "1508" "865" "1" 40 54 "865_40" "Dom" 54
"305" "1510_34" "3015" "1510" "1723" "1" 34 18 "1723_34" "Dom" 18
"306" "1510_41" "1742" "1510" "1542" "0.998" 41 78 "1542_41" "Dom" 78
"307" "1510_41" "1776" "1510" "1542" "0.998" 41 78 "1542_41" "Dom" 78
"308" "1510_54" "4873" "1510" "1165" "1" 54 18 "1165_54" "Dom" 18
"309" "1510_75" "4890" "1510" "2966" "1" 75 18 "2966_75" "Dom" 18
"310" "1511_40" "1721" "1511" "1499" "1" 40 16 "1499_40" "Dom" 16
